"Channel","FrequencyHz","ToneDb","BaselineDb","BandSnrDb"
"0","500","-37","-60.7","23.7"
"0","1000","-26.1","-78.5","52.4"
"0","2000","-36","-85.5","49.5"
"0","3000","-37.9","-90.3","52.4"
"0","4000","-42.6","-91","48.4"
"0","5000","-53.3","-91","37.7"
"0","6000","-41.9","-91","49.1"
"0","8000","-51","-91","40"
"0","10000","-44.5","-91","46.5"
"0","12000","-29.8","-91","61.2"
"0","14000","-35.1","-91","55.9"
"0","16000","-44.5","-91","46.5"
"1","500","-38.3","-73.8","35.5"
"1","1000","-26.8","-81.9","55.1"
"1","2000","-36.5","-87.3","50.8"
"1","3000","-30.5","-90.3","59.8"
"1","4000","-44","-90.3","46.3"
"1","5000","-52.2","-91","38.8"
"1","6000","-33.8","-91","57.2"
"1","8000","-34","-91","57"
"1","10000","-25.4","-91","65.6"
"1","12000","-26.9","-91","64.1"
"1","14000","-46.3","-91","44.7"
"1","16000","-49.5","-91","41.5"
