"Channel","FrequencyHz","ToneDb","BaselineDb","BandSnrDb"
"0","500","-36.8","-61.9","25.1"
"0","1000","-26.3","-78.3","52"
"0","2000","-35.4","-84.3","48.9"
"0","3000","-37.9","-90.3","52.4"
"0","4000","-42.4","-90.3","47.9"
"0","5000","-52.5","-91","38.5"
"0","6000","-46.6","-91","44.4"
"0","8000","-42.4","-91","48.6"
"0","10000","-44.4","-91","46.6"
"0","12000","-33.2","-91","57.8"
"0","14000","-34.6","-90.3","55.7"
"0","16000","-48","-91","43"
"1","500","-37.6","-72.9","35.3"
"1","1000","-27.2","-79.5","52.3"
"1","2000","-36.9","-85.5","48.6"
"1","3000","-32","-87.3","55.3"
"1","4000","-49.8","-90.3","40.5"
"1","5000","-52.9","-90.3","37.4"
"1","6000","-36.3","-91","54.7"
"1","8000","-40.2","-91","50.8"
"1","10000","-36.7","-90.3","53.6"
"1","12000","-29.1","-91","61.9"
"1","14000","-48.1","-91","42.9"
"1","16000","-43.6","-91","47.4"
