"Trial","Acquired","CRC","WireExact","SemanticExact","Correlation","Note"
"1","yes","yes","yes","yes","0.876386",""
"2","yes","yes","yes","yes","0.877460",""
"3","yes","yes","yes","yes","0.875203",""
"4","yes","yes","yes","yes","0.876401",""
"5","no","no","no","no","0.874439","decode status 6"
"6","yes","yes","yes","yes","0.876328",""
"7","yes","yes","yes","yes","0.874238",""
"8","yes","yes","yes","yes","0.876102",""
"9","no","no","no","no","0.874086","decode status 6"
"10","yes","yes","yes","yes","0.876144",""
