# fit_tones_used	25
# nominal_slot_ms	100.0
# fitted_slot_ms	127.78
# fitted_stretch	1.2778
# band_sweep slots
# file	evidence/board-20260906/sweep.wav
# label	board
# samples	239376
# capgain	0.120000
# emitgain	50.0
# marker_onset_sample	10800
# slot0_sample	32231
# slot_samples	6133
# floor_window_ms	215.0
hz	own_db	leak_db	floor_db	snr_db	own_vs_leak_db
1200	-26.24	-45.02	-82.36	56.12	18.79
1500	-12.84	-36.78	-83.68	70.84	23.94
1800	-11.05	-31.80	-88.13	77.08	20.76
2100	-13.73	-34.05	-83.92	70.19	20.33
2400	-15.82	-54.62	-91.77	75.95	38.80
2700	-16.26	-43.63	-88.96	72.70	27.37
3000	-18.01	-39.17	-86.51	68.50	21.17
3300	-18.87	-41.07	-90.92	72.05	22.20
3600	-21.84	-39.66	-87.65	65.81	17.81
3900	-20.49	-41.44	-99.30	78.81	20.95
4200	-25.44	-39.82	-86.76	61.32	14.37
4500	-25.71	-39.81	-95.00	69.30	14.10
4800	-32.70	-42.61	-90.73	58.04	9.91
5100	-24.34	-47.16	-90.82	66.48	22.82
5400	-32.61	-41.71	-93.39	60.77	9.10
5700	-26.92	-37.26	-90.27	63.35	10.34
6000	-19.01	-38.97	-107.26	88.26	19.97
6300	-22.81	-43.94	-89.94	67.13	21.13
6600	-33.62	-40.28	-97.21	63.59	6.66
6900	-25.65	-39.90	-90.93	65.27	14.25
7200	-30.13	-45.08	-95.27	65.14	14.96
7500	-40.36	-57.11	-90.15	49.79	16.75
7800	-36.34	-54.35	-91.36	55.02	18.01
8100	-38.60	-54.14	-96.09	57.49	15.54
8400	-27.93	-41.11	-90.35	62.42	13.18
8700	-15.98	-37.16	-93.96	77.99	21.18
9000	-13.86	-59.14	-91.10	77.25	45.29
