# fit_tones_used	25
# nominal_slot_ms	100.0
# fitted_slot_ms	100.79
# fitted_stretch	1.0079
# band_sweep slots
# file	evidence/host-speaker-20260906/sweep.wav
# label	host-speaker
# samples	239424
# capgain	0.120000
# emitgain	50.0
# marker_onset_sample	77760
# slot0_sample	96351
# slot_samples	4837
# floor_window_ms	1610.0
hz	own_db	leak_db	floor_db	snr_db	own_vs_leak_db
1200	-29.73	-56.72	-104.01	74.28	26.99
1500	-32.15	-60.23	-112.20	80.05	28.07
1800	-37.42	-55.78	-96.58	59.16	18.36
2100	-48.93	-59.86	-91.83	42.89	10.93
2400	-37.80	-57.41	-100.97	63.18	19.61
2700	-37.84	-54.22	-95.91	58.07	16.38
3000	-33.26	-59.95	-99.19	65.92	26.69
3300	-39.65	-53.96	-98.36	58.71	14.32
3600	-65.64	-59.09	-98.28	32.64	-6.56
3900	-58.88	-61.94	-101.57	42.68	3.05
4200	-51.68	-66.19	-101.61	49.93	14.51
4500	-51.04	-74.92	-112.75	61.71	23.88
4800	-62.51	-83.48	-105.40	42.89	20.97
5100	-51.27	-70.80	-111.12	59.85	19.53
5400	-49.01	-61.70	-111.67	62.66	12.69
5700	-49.46	-65.18	-111.90	62.43	15.72
6000	-48.63	-54.78	-104.38	55.75	6.15
6300	-41.52	-58.28	-112.27	70.74	16.75
6600	-49.23	-55.80	-107.67	58.44	6.56
6900	-44.04	-59.08	-118.24	74.20	15.04
7200	-48.07	-53.26	-107.35	59.27	5.19
7500	-47.72	-59.53	-104.23	56.51	11.81
7800	-44.80	-56.64	-104.58	59.78	11.84
8100	-39.21	-68.34	-122.00	82.78	29.13
8400	-37.22	-60.18	-109.23	72.01	22.97
8700	-37.79	-48.84	-103.71	65.92	11.06
9000	-53.32	-81.43	-112.16	58.84	28.10
